"response","Country","Number","question"
"Very serious threat","Saudi.Arabia",37.08461476,"Ques__threat_20_years"
"Very serious threat","Senegal",51.97841839,"Ques__threat_20_years"
"Very serious threat","Serbia",40.54025141,"Ques__threat_20_years"
"Very serious threat","Singapore",41.64331911,"Ques__threat_20_years"
"Very serious threat","Slovakia",20.46416742,"Ques__threat_20_years"
"Very serious threat","South.Africa",59.90775389,"Ques__threat_20_years"
"Very serious threat","South.Korea",41.10888824,"Ques__threat_20_years"
"Very serious threat","Spain",52.81627764,"Ques__threat_20_years"
"Very serious threat","Sri.Lanka",65.59833159,"Ques__threat_20_years"
"Very serious threat","Sub.Saharan.Africa",59.2331263,"Ques__threat_20_years"
"Very serious threat","Sweden",20.16393835,"Ques__threat_20_years"
"Very serious threat","Switzerland",26.65899667,"Ques__threat_20_years"
"Very serious threat","Taiwan",39.25104131,"Ques__threat_20_years"
"Very serious threat","Tanzania",57.99148882,"Ques__threat_20_years"
"Very serious threat","Thailand",19.8828742,"Ques__threat_20_years"
"Very serious threat","Trinidad.and.Tobago",53.44534659,"Ques__threat_20_years"
"Very serious threat","Tunisia",40.64641218,"Ques__threat_20_years"
"Very serious threat","Turkey",47.18759584,"Ques__threat_20_years"
"Very serious threat","United.Arab.Emirates",48.08161273,"Ques__threat_20_years"
"Very serious threat","United.Kingdom",41.79418167,"Ques__threat_20_years"
"Very serious threat","United.States",40.6401123,"Ques__threat_20_years"
"Very serious threat","Uruguay",41.33515813,"Ques__threat_20_years"
"Very serious threat","Uzbekistan",30.11685302,"Ques__threat_20_years"
"Very serious threat","Vietnam",53.46172253,"Ques__threat_20_years"
"Very serious threat","Yemen",13.50232111,"Ques__threat_20_years"
"Very serious threat","Zambia",67.66261353,"Ques__threat_20_years"
"Somewhat serious threat","Albania",40.64361492,"Ques__threat_20_years"
"Somewhat serious threat","Algeria",28.78780788,"Ques__threat_20_years"
"Somewhat serious threat","Angola",28.47713317,"Ques__threat_20_years"
"Somewhat serious threat","Argentina",31.28568623,"Ques__threat_20_years"
"Somewhat serious threat","Armenia",55.84008529,"Ques__threat_20_years"
"Somewhat serious threat","Asian...Pacific.Islands",22.65936168,"Ques__threat_20_years"
"Somewhat serious threat","Australia",35.22249495,"Ques__threat_20_years"
"Somewhat serious threat","Austria",54.76723504,"Ques__threat_20_years"
"Somewhat serious threat","Azerbaijan",47.22210897,"Ques__threat_20_years"
"Somewhat serious threat","Bangladesh",25.3496892,"Ques__threat_20_years"
"Somewhat serious threat","Belgium",46.36626906,"Ques__threat_20_years"
"Somewhat serious threat","Benin",17.0317819,"Ques__threat_20_years"
"Somewhat serious threat","Bolivia..Plurinational.State.of.",23.1384137,"Ques__threat_20_years"
"Somewhat serious threat","Bosnia.and.Herzegovina",40.13999746,"Ques__threat_20_years"
"Somewhat serious threat","Botswana",16.33657693,"Ques__threat_20_years"
"Somewhat serious threat","Brazil",20.58130307,"Ques__threat_20_years"
"Somewhat serious threat","Bulgaria",43.76857454,"Ques__threat_20_years"
"Somewhat serious threat","Burkina.Faso",23.61747365,"Ques__threat_20_years"
"Somewhat serious threat","Cambodia",17.38746027,"Ques__threat_20_years"
"Somewhat serious threat","Cameroon",24.03475985,"Ques__threat_20_years"
"Somewhat serious threat","Canada",37.96876418,"Ques__threat_20_years"
"Somewhat serious threat","Caribbean",28.24541228,"Ques__threat_20_years"
"Somewhat serious threat","Chile",19.79414188,"Ques__threat_20_years"
"Somewhat serious threat","Colombia",20.66998844,"Ques__threat_20_years"
"Somewhat serious threat","Congo..Democratic.Republic.of.the.",16.78831002,"Ques__threat_20_years"
"Somewhat serious threat","Costa.Rica",27.28589943,"Ques__threat_20_years"
"Somewhat serious threat","Cote.d.Ivoire",23.77649538,"Ques__threat_20_years"
"Somewhat serious threat","Croatia",38.48241886,"Ques__threat_20_years"
"Somewhat serious threat","Cyprus",40.96129011,"Ques__threat_20_years"
"Somewhat serious threat","Czechia",45.08391734,"Ques__threat_20_years"
"Somewhat serious threat","Denmark",53.3477352,"Ques__threat_20_years"
"Somewhat serious threat","Dominican.Republic",29.06653425,"Ques__threat_20_years"
"Somewhat serious threat","Ecuador",25.65465579,"Ques__threat_20_years"
"Somewhat serious threat","Egypt",37.70740615,"Ques__threat_20_years"
"Somewhat serious threat","El.Salvador",22.50185161,"Ques__threat_20_years"
"Somewhat serious threat","Finland",46.47271862,"Ques__threat_20_years"
"Somewhat serious threat","France",41.38344573,"Ques__threat_20_years"
"Somewhat serious threat","Germany",48.47804287,"Ques__threat_20_years"
"Somewhat serious threat","Ghana",21.95856672,"Ques__threat_20_years"
"Somewhat serious threat","Greece",43.07263554,"Ques__threat_20_years"
"Somewhat serious threat","Guatemala",22.30943135,"Ques__threat_20_years"
"Somewhat serious threat","Haiti",16.03919907,"Ques__threat_20_years"
"Somewhat serious threat","Honduras",18.89230035,"Ques__threat_20_years"
"Somewhat serious threat","Hong.Kong",45.69463922,"Ques__threat_20_years"
"Somewhat serious threat","Hungary",49.30818969,"Ques__threat_20_years"
"Somewhat serious threat","India",21.33108356,"Ques__threat_20_years"
"Somewhat serious threat","Indonesia",29.15004991,"Ques__threat_20_years"
"Somewhat serious threat","Iraq",37.67194516,"Ques__threat_20_years"
"Somewhat serious threat","Ireland",39.31567773,"Ques__threat_20_years"
