"country","year","emissions"
"Armenia","X1995",NA
"Armenia","X1996",1.8
"Armenia","X1997",2.02
"Armenia","X1998",2.01
"Armenia","X1999",1.86
"Armenia","X2000",1.99
"Armenia","X2001",2.04
"Armenia","X2002",1.94
"Armenia","X2003",2.1
"Armenia","X2004",2.24
"Armenia","X2005",2.5
"Armenia","X2006",2.65
"Armenia","X2007",2.89
"Armenia","X2008",3.1
"Armenia","X2009",2.72
"Armenia","X2010",2.67
"Armenia","X2011",2.82
"Armenia","X2012",3.16
"Armenia","X2013",3.13
"Armenia","X2014",3.11
"Armenia","X2015",3.1
"Armenia","X2016",3.22
"Armenia","X2017",3.15
"Armenia","X2018",3.21
"Armenia","X2019",3.38
"Australia","X1990",31.72
"Australia","X1991",31.32
"Australia","X1992",30.98
"Australia","X1993",30.8
"Australia","X1994",30.81
"Australia","X1995",30.88
"Australia","X1996",30.44
"Australia","X1997",30.61
"Australia","X1998",31.74
"Australia","X1999",33.43
"Australia","X2000",33.98
"Australia","X2001",33.81
"Australia","X2002",33.23
"Australia","X2003",28.96
"Australia","X2004",31.18
"Australia","X2005",28.95
"Australia","X2006",30.84
"Australia","X2007",30.63
"Australia","X2008",28.65
"Australia","X2009",28.87
"Australia","X2010",27.07
"Australia","X2011",28.65
"Australia","X2012",28.14
"Australia","X2013",23.96
"Australia","X2014",24.28
"Australia","X2015",23.89
"Australia","X2016",23.91
"Australia","X2017",25.47
"Australia","X2018",24.87
"Australia","X2019",23.99
"Austria","X1990",8.22
"Austria","X1991",8.69
"Austria","X1992",7.86
"Austria","X1993",7.78
"Austria","X1994",7.76
"Austria","X1995",8.06
"Austria","X1996",8.53
"Austria","X1997",8.39
"Austria","X1998",8.38
"Austria","X1999",8.13
"Austria","X2000",8.14
"Austria","X2001",9.55
"Austria","X2002",9.67
"Austria","X2003",10.25
"Austria","X2004",10.29
"Austria","X2005",10.23
"Austria","X2006",9.91
"Austria","X2007",9.51
"Austria","X2008",9.43
"Austria","X2009",8.58
"Austria","X2010",9.25
"Austria","X2011",8.87
"Austria","X2012",8.45
"Austria","X2013",8.47
"Austria","X2014",7.97
"Austria","X2015",8.01
"Austria","X2016",7.97
"Austria","X2017",8.13
"Austria","X2018",7.73
"Austria","X2019",7.86
"Azerbaijan","X1990",10.33
"Azerbaijan","X1991",9.85
"Azerbaijan","X1992",10.94
"Azerbaijan","X1993",8.02
"Azerbaijan","X1994",5.37
"Azerbaijan","X1995",5.19
"Azerbaijan","X1996",4.42
"Azerbaijan","X1997",4.32
"Azerbaijan","X1998",4.33
"Azerbaijan","X1999",4.31
"Azerbaijan","X2000",4.5
"Azerbaijan","X2001",4.36
"Azerbaijan","X2002",4.34
"Azerbaijan","X2003",4.63
"Azerbaijan","X2004",4.61
"Azerbaijan","X2005",4.89
"Azerbaijan","X2006",5.06
"Azerbaijan","X2007",4.83
"Azerbaijan","X2008",5.23
"Azerbaijan","X2009",4.62
"Azerbaijan","X2010",4.44
"Azerbaijan","X2011",4.58
"Azerbaijan","X2012",4.86
"Azerbaijan","X2013",4.93
"Azerbaijan","X2014",5.01
"Azerbaijan","X2015",4.94
"Azerbaijan","X2016",5.02
"Azerbaijan","X2017",4.9
"Azerbaijan","X2018",5.01
"Azerbaijan","X2019",5.28
"Bahamas","X1990",8.52
"Bahamas","X1991",8.64
"Bahamas","X1992",10.48
"Bahamas","X1993",8.55
"Bahamas","X1994",8.31
"Bahamas","X1995",8.69
"Bahamas","X1996",8.29
"Bahamas","X1997",7.49
"Bahamas","X1998",9.18
"Bahamas","X1999",8.95
"Bahamas","X2000",8.59
"Bahamas","X2001",8.08
"Bahamas","X2002",8.56
"Bahamas","X2003",8.31
"Bahamas","X2004",7.96
"Bahamas","X2005",7.34
"Bahamas","X2006",7.15
"Bahamas","X2007",7.05
"Bahamas","X2008",7.34
"Bahamas","X2009",18.5
"Bahamas","X2010",6.68
"Bahamas","X2011",8.12
"Bahamas","X2012",10.58
"Bahamas","X2013",8.64
"Bahamas","X2014",7.64
"Bahamas","X2015",6.77
"Bahamas","X2016",6.33
"Bahamas","X2017",6.74
"Bahamas","X2018",8.11
"Bahamas","X2019",8.16
"Bahrain","X1990",31.71
"Bahrain","X1991",30.12
"Bahrain","X1992",33.56
"Bahrain","X1993",34.6
"Bahrain","X1994",34.62
"Bahrain","X1995",35.02
"Bahrain","X1996",36.28
"Bahrain","X1997",36.98
"Bahrain","X1998",38.72
"Bahrain","X1999",38.27
"Bahrain","X2000",38.28
"Bahrain","X2001",37.68
"Bahrain","X2002",37.38
"Bahrain","X2003",36.67
"Bahrain","X2004",34.7
"Bahrain","X2005",36.09
"Bahrain","X2006",36.08
"Bahrain","X2007",34.54
"Bahrain","X2008",34.36
"Bahrain","X2009",32.78
"Bahrain","X2010",32.89
"Bahrain","X2011",32.47
"Bahrain","X2012",33.18
"Bahrain","X2013",34.92
"Bahrain","X2014",35.95
"Bahrain","X2015",35.62
"Bahrain","X2016",34.61
"Bahrain","X2017",33.63
"Bahrain","X2018",32.59
"Bahrain","X2019",33.15
"Bangladesh","X1990",1.13
"Bangladesh","X1991",1.11
"Bangladesh","X1992",1.1
"Bangladesh","X1993",1.09
"Bangladesh","X1994",1.09
"Bangladesh","X1995",1.12
"Bangladesh","X1996",1.1
"Bangladesh","X1997",1.09
"Bangladesh","X1998",1.07
"Bangladesh","X1999",1.08
"Bangladesh","X2000",1.08
"Bangladesh","X2001",1.1
"Bangladesh","X2002",1.11
"Bangladesh","X2003",1.1
"Bangladesh","X2004",1.1
"Bangladesh","X2005",1.12
"Bangladesh","X2006",1.15
"Bangladesh","X2007",1.15
"Bangladesh","X2008",1.2
"Bangladesh","X2009",1.22
"Bangladesh","X2010",1.26
"Bangladesh","X2011",1.28
"Bangladesh","X2012",1.29
"Bangladesh","X2013",1.3
"Bangladesh","X2014",1.32
"Bangladesh","X2015",1.37
"Bangladesh","X2016",1.37
"Bangladesh","X2017",1.41
"Bangladesh","X2018",1.42
"Bangladesh","X2019",1.46
"Barbados","X1990",11.92
"Barbados","X1991",11.99
"Barbados","X1992",12.86
"Barbados","X1993",12.24
"Barbados","X1994",12.46
"Barbados","X1995",12.63
"Barbados","X1996",12.62
"Barbados","X1997",12.98
"Barbados","X1998",13.33
"Barbados","X1999",13.46
"Barbados","X2000",13.22
"Barbados","X2001",13.41
"Barbados","X2002",13.55
"Barbados","X2003",13.55
"Barbados","X2004",13.48
"Barbados","X2005",13.59
"Barbados","X2006",13.74
"Barbados","X2007",13.76
"Barbados","X2008",14.83
"Barbados","X2009",24.89
"Barbados","X2010",13.98
"Barbados","X2011",14.75
"Barbados","X2012",16.04
"Barbados","X2013",13.67
"Barbados","X2014",13.09
"Barbados","X2015",13.11
"Barbados","X2016",13.22
"Barbados","X2017",12.88
"Barbados","X2018",13.11
"Barbados","X2019",13.21
"Belarus","X1990",10.28
"Belarus","X1991",9.78
"Belarus","X1992",8.43
"Belarus","X1993",7.16
"Belarus","X1994",5.88
"Belarus","X1995",5.11
"Belarus","X1996",5.21
"Belarus","X1997",5.27
"Belarus","X1998",5.1
"Belarus","X1999",4.89
"Belarus","X2000",4.65
"Belarus","X2001",5.34
"Belarus","X2002",5.32
"Belarus","X2003",5.47
"Belarus","X2004",5.9
"Belarus","X2005",6.03
"Belarus","X2006",6.4
"Belarus","X2007",6.3
"Belarus","X2008",6.75
"Belarus","X2009",6.46
