"country","year","emissions"
"Cape Verde","X2000",-0.32
"Cape Verde","X2001",0.79
"Cape Verde","X2002",0.86
"Cape Verde","X2003",0.91
"Cape Verde","X2004",0.98
"Cape Verde","X2005",1.19
"Cape Verde","X2006",1.31
"Cape Verde","X2007",1.2
"Cape Verde","X2008",1.22
"Cape Verde","X2009",1.31
"Cape Verde","X2010",1.37
"Cape Verde","X2011",1.33
"Cape Verde","X2012",1.25
"Cape Verde","X2013",1.19
"Cape Verde","X2014",1.17
"Cape Verde","X2015",1.17
"Cape Verde","X2016",1.24
"Cape Verde","X2017",1.27
"Cape Verde","X2018",1.31
"Cape Verde","X2019",1.36
"Central African Republic","X1990",16.59
"Central African Republic","X1991",16.29
"Central African Republic","X1992",15.86
"Central African Republic","X1993",15.42
"Central African Republic","X1994",15.78
"Central African Republic","X1995",15.39
"Central African Republic","X1996",11.56
"Central African Republic","X1997",12.25
"Central African Republic","X1998",13.45
"Central African Republic","X1999",12.09
"Central African Republic","X2000",12.15
"Central African Republic","X2001",14.07
"Central African Republic","X2002",12.67
"Central African Republic","X2003",16.04
"Central African Republic","X2004",12.94
"Central African Republic","X2005",14.27
"Central African Republic","X2006",13.74
"Central African Republic","X2007",14.01
"Central African Republic","X2008",13.7
"Central African Republic","X2009",11.01
"Central African Republic","X2010",12.6
"Central African Republic","X2011",13.07
"Central African Republic","X2012",11.96
"Central African Republic","X2013",11.63
"Central African Republic","X2014",10.94
"Central African Republic","X2015",11.31
"Central African Republic","X2016",12.79
"Central African Republic","X2017",11.58
"Central African Republic","X2018",11.42
"Central African Republic","X2019",9.82
"Chad","X1990",4.18
"Chad","X1991",5.09
"Chad","X1992",5.07
"Chad","X1993",5.06
"Chad","X1994",5.04
"Chad","X1995",5.02
"Chad","X1996",5.3
"Chad","X1997",5.35
"Chad","X1998",5.75
"Chad","X1999",5.77
"Chad","X2000",5.58
"Chad","X2001",5.83
"Chad","X2002",6.08
"Chad","X2003",5.81
"Chad","X2004",5.96
"Chad","X2005",5.93
"Chad","X2006",5.88
"Chad","X2007",5.92
"Chad","X2008",5.79
"Chad","X2009",5.66
"Chad","X2010",5.82
"Chad","X2011",6.57
"Chad","X2012",6.65
"Chad","X2013",6.58
"Chad","X2014",6.56
"Chad","X2015",6.73
"Chad","X2016",6.68
"Chad","X2017",6.57
"Chad","X2018",6.67
"Chad","X2019",6.63
"Chile","X1990",2.12
"Chile","X1991",2
"Chile","X1992",2.08
"Chile","X1993",2.23
"Chile","X1994",2.48
"Chile","X1995",2.71
"Chile","X1996",3.12
"Chile","X1997",3.56
"Chile","X1998",3.59
"Chile","X1999",3.74
"Chile","X2000",3.43
"Chile","X2001",2.05
"Chile","X2002",2.07
"Chile","X2003",2.09
"Chile","X2004",2.41
"Chile","X2005",2.42
"Chile","X2006",2.47
"Chile","X2007",2.91
"Chile","X2008",3.17
"Chile","X2009",2.99
"Chile","X2010",3.26
"Chile","X2011",0.98
"Chile","X2012",1.11
"Chile","X2013",1.28
"Chile","X2014",0.86
"Chile","X2015",1.19
"Chile","X2016",2.68
"Chile","X2017",2.76
"Chile","X2018",2.66
"Chile","X2019",2.92
"China","X1990",2.55
"China","X1991",2.64
"China","X1992",2.72
"China","X1993",2.88
"China","X1994",2.98
"China","X1995",3.29
"China","X1996",3.27
"China","X1997",3.23
"China","X1998",3.3
"China","X1999",3.22
"China","X2000",3.34
"China","X2001",3.48
"China","X2002",3.7
"China","X2003",4.18
"China","X2004",4.76
"China","X2005",5.32
"China","X2006",5.81
"China","X2007",6.24
"China","X2008",6.4
"China","X2009",6.8
"China","X2010",7.39
"China","X2011",7.72
"China","X2012",7.88
"China","X2013",8.19
"China","X2014",8.18
"China","X2015",8.05
"China","X2016",8.04
"China","X2017",8.15
"China","X2018",8.43
"China","X2019",8.56
"Colombia","X1990",6.53
"Colombia","X1991",6.45
"Colombia","X1992",6.41
"Colombia","X1993",6.43
"Colombia","X1994",6.38
"Colombia","X1995",6.37
"Colombia","X1996",6.27
"Colombia","X1997",6.32
"Colombia","X1998",6.26
"Colombia","X1999",5.87
"Colombia","X2000",5.88
"Colombia","X2001",5.53
"Colombia","X2002",5.4
"Colombia","X2003",5.36
"Colombia","X2004",5.33
"Colombia","X2005",5.3
"Colombia","X2006",5.25
"Colombia","X2007",5.32
"Colombia","X2008",5.27
"Colombia","X2009",5.29
"Colombia","X2010",5.35
"Colombia","X2011",4.85
"Colombia","X2012",4.79
"Colombia","X2013",4.89
"Colombia","X2014",4.92
"Colombia","X2015",4.88
"Colombia","X2016",5.43
"Colombia","X2017",5.24
"Colombia","X2018",5.34
"Colombia","X2019",5.37
"Comoros","X1990",0.78
"Comoros","X1991",0.77
"Comoros","X1992",0.76
"Comoros","X1993",0.75
"Comoros","X1994",0.74
"Comoros","X1995",0.73
"Comoros","X1996",0.72
"Comoros","X1997",0.71
"Comoros","X1998",0.72
"Comoros","X1999",0.72
"Comoros","X2000",0.67
"Comoros","X2001",0.69
"Comoros","X2002",0.68
"Comoros","X2003",0.7
"Comoros","X2004",0.71
"Comoros","X2005",0.74
"Comoros","X2006",0.74
"Comoros","X2007",0.6
"Comoros","X2008",0.63
"Comoros","X2009",0.65
"Comoros","X2010",0.69
"Comoros","X2011",0.67
"Comoros","X2012",0.68
"Comoros","X2013",0.72
"Comoros","X2014",0.68
"Comoros","X2015",0.69
"Comoros","X2016",0.73
"Comoros","X2017",0.79
"Comoros","X2018",0.81
"Comoros","X2019",0.83
"Cook Islands","X1990",NA
"Cook Islands","X1991",NA
"Cook Islands","X1992",NA
"Cook Islands","X1993",NA
"Cook Islands","X1994",NA
"Cook Islands","X1995",NA
"Cook Islands","X1996",NA
"Cook Islands","X1997",NA
"Cook Islands","X1998",NA
"Cook Islands","X1999",NA
"Cook Islands","X2000",NA
"Cook Islands","X2001",NA
"Cook Islands","X2002",NA
"Cook Islands","X2003",NA
"Cook Islands","X2004",NA
"Cook Islands","X2005",NA
"Cook Islands","X2006",NA
"Cook Islands","X2007",NA
"Cook Islands","X2008",NA
"Cook Islands","X2009",NA
"Cook Islands","X2010",NA
"Cook Islands","X2011",NA
"Cook Islands","X2012",NA
"Cook Islands","X2013",NA
"Cook Islands","X2014",NA
"Cook Islands","X2015",NA
"Cook Islands","X2016",NA
"Cook Islands","X2017",NA
"Cook Islands","X2018",NA
"Cook Islands","X2019",NA
"Costa Rica","X1990",3.53
"Costa Rica","X1991",3.53
"Costa Rica","X1992",3.78
"Costa Rica","X1993",3.71
"Costa Rica","X1994",3.74
"Costa Rica","X1995",3.53
"Costa Rica","X1996",3.44
"Costa Rica","X1997",3.38
"Costa Rica","X1998",3.49
"Costa Rica","X1999",3.36
"Costa Rica","X2000",3.26
"Costa Rica","X2001",2.56
"Costa Rica","X2002",2.52
"Costa Rica","X2003",2.57
"Costa Rica","X2004",2.53
"Costa Rica","X2005",2.62
"Costa Rica","X2006",2.66
"Costa Rica","X2007",2.95
"Costa Rica","X2008",2.94
"Costa Rica","X2009",2.81
"Costa Rica","X2010",2.8
"Costa Rica","X2011",1.44
"Costa Rica","X2012",1.43
"Costa Rica","X2013",1.51
"Costa Rica","X2014",1.5
"Costa Rica","X2015",1.46
"Costa Rica","X2016",1.63
"Costa Rica","X2017",1.66
"Costa Rica","X2018",1.7
"Costa Rica","X2019",1.68
"Croatia","X1990",5.8
"Croatia","X1991",4.56
"Croatia","X1992",4.89
"Croatia","X1993",5.05
"Croatia","X1994",5.01
"Croatia","X1995",5.33
"Croatia","X1996",5.22
"Croatia","X1997",5.6
"Croatia","X1998",5.69
"Croatia","X1999",5.61
"Croatia","X2000",5.46
"Croatia","X2001",5.86
"Croatia","X2002",6.1
"Croatia","X2003",6.36
"Croatia","X2004",6.29
"Croatia","X2005",6.27
"Croatia","X2006",6.44
"Croatia","X2007",6.79
"Croatia","X2008",6.6
"Croatia","X2009",6.01
"Croatia","X2010",5.9
"Croatia","X2011",5.7
"Croatia","X2012",5.25
"Croatia","X2013",5.01
"Croatia","X2014",4.84
"Croatia","X2015",5.02
"Croatia","X2016",4.39
"Croatia","X2017",4.6
"Croatia","X2018",4.37
"Croatia","X2019",4.41
"Cuba","X1990",4.15
"Cuba","X1991",3.26
"Cuba","X1992",2.67
"Cuba","X1993",2.34
"Cuba","X1994",2.46
"Cuba","X1995",2.55
"Cuba","X1996",2.79
"Cuba","X1997",2.98
"Cuba","X1998",2.93
"Cuba","X1999",2.96
"Cuba","X2000",2.99
"Cuba","X2001",2.94
"Cuba","X2002",2.83
"Cuba","X2003",2.75
"Cuba","X2004",2.68
"Cuba","X2005",2.69
"Cuba","X2006",2.78
"Cuba","X2007",2.87
"Cuba","X2008",2.82
"Cuba","X2009",2.89
"Cuba","X2010",2.98
"Cuba","X2011",2.77
"Cuba","X2012",2.86
"Cuba","X2013",2.88
"Cuba","X2014",2.7
"Cuba","X2015",2.87
"Cuba","X2016",3.54
"Cuba","X2017",3.42
"Cuba","X2018",3.46
"Cuba","X2019",3.37
"Cyprus","X1990",7.01
"Cyprus","X1991",7.53
"Cyprus","X1992",7.9
"Cyprus","X1993",8.06
"Cyprus","X1994",8.19
"Cyprus","X1995",7.88
"Cyprus","X1996",8.16
"Cyprus","X1997",8.09
"Cyprus","X1998",8.3
"Cyprus","X1999",8.44
"Cyprus","X2000",8.57
"Cyprus","X2001",8.13
"Cyprus","X2002",8.23
"Cyprus","X2003",8.76
"Cyprus","X2004",8.56
"Cyprus","X2005",8.53
"Cyprus","X2006",8.51
"Cyprus","X2007",8.68
"Cyprus","X2008",8.73
"Cyprus","X2009",8.45
"Cyprus","X2010",8.04
"Cyprus","X2011",7.68
"Cyprus","X2012",7.16
"Cyprus","X2013",6.49
"Cyprus","X2014",6.79
"Cyprus","X2015",6.8
"Cyprus","X2016",7.14
"Cyprus","X2017",7.2
"Cyprus","X2018",6.99
"Cyprus","X2019",6.92
"Czech Republic","X1990",16.7
"Czech Republic","X1991",15.12
"Czech Republic","X1992",14.67
"Czech Republic","X1993",14.21
"Czech Republic","X1994",13.49
"Czech Republic","X1995",13.5
"Czech Republic","X1996",13.67
"Czech Republic","X1997",13.44
"Czech Republic","X1998",12.81
"Czech Republic","X1999",12.04
"Czech Republic","X2000",13.13
"Czech Republic","X2001",13.4
"Czech Republic","X2002",12.87
"Czech Republic","X2003",13.3
"Czech Republic","X2004",13.35
"Czech Republic","X2005",13.03
"Czech Republic","X2006",13.09
"Czech Republic","X2007",13.31
"Czech Republic","X2008",12.71
"Czech Republic","X2009",11.91
"Czech Republic","X2010",12.01
"Czech Republic","X2011",12.04
"Czech Republic","X2012",11.77
"Czech Republic","X2013",11.21
"Czech Republic","X2014",10.88
"Czech Republic","X2015",11.08
"Czech Republic","X2016",11.09
"Czech Republic","X2017",11.02
"Czech Republic","X2018",10.86
"Czech Republic","X2019",10.38
"Côte d'Ivoire","X1990",5.85
"Côte d'Ivoire","X1991",5.86
"Côte d'Ivoire","X1992",5.86
"Côte d'Ivoire","X1993",5.86
"Côte d'Ivoire","X1994",5.87
"Côte d'Ivoire","X1995",5.74
"Côte d'Ivoire","X1996",5.61
"Côte d'Ivoire","X1997",5.56
"Côte d'Ivoire","X1998",5.44
"Côte d'Ivoire","X1999",5.43
"Côte d'Ivoire","X2000",5.29
"Côte d'Ivoire","X2001",3.1
"Côte d'Ivoire","X2002",3.06
"Côte d'Ivoire","X2003",2.84
"Côte d'Ivoire","X2004",2.69
"Côte d'Ivoire","X2005",2.7
"Côte d'Ivoire","X2006",2.59
"Côte d'Ivoire","X2007",2.5
"Côte d'Ivoire","X2008",2.43
"Côte d'Ivoire","X2009",2.3
"Côte d'Ivoire","X2010",2.23
"Côte d'Ivoire","X2011",2.16
"Côte d'Ivoire","X2012",2.19
"Côte d'Ivoire","X2013",2.2
"Côte d'Ivoire","X2014",2.14
"Côte d'Ivoire","X2015",2.12
"Côte d'Ivoire","X2016",2.13
"Côte d'Ivoire","X2017",2.09
"Côte d'Ivoire","X2018",2.02
"Côte d'Ivoire","X2019",2
"Democratic Republic of the Congo","X1990",12.45
"Democratic Republic of the Congo","X1991",11.96
"Democratic Republic of the Congo","X1992",11.51
"Democratic Republic of the Congo","X1993",11.1
"Democratic Republic of the Congo","X1994",10.75
"Democratic Republic of the Congo","X1995",10.4
"Democratic Republic of the Congo","X1996",10.03
"Democratic Republic of the Congo","X1997",9.94
"Democratic Republic of the Congo","X1998",9.75
"Democratic Republic of the Congo","X1999",9.35
"Democratic Republic of the Congo","X2000",9.04
"Democratic Republic of the Congo","X2001",8.62
"Democratic Republic of the Congo","X2002",8.62
"Democratic Republic of the Congo","X2003",8.5
"Democratic Republic of the Congo","X2004",8.29
"Democratic Republic of the Congo","X2005",8.04
"Democratic Republic of the Congo","X2006",7.83
"Democratic Republic of the Congo","X2007",7.46
"Democratic Republic of the Congo","X2008",7.29
"Democratic Republic of the Congo","X2009",7.04
"Democratic Republic of the Congo","X2010",6.85
"Democratic Republic of the Congo","X2011",10.13
"Democratic Republic of the Congo","X2012",9.75
"Democratic Republic of the Congo","X2013",9.49
"Democratic Republic of the Congo","X2014",9.19
"Democratic Republic of the Congo","X2015",8.92
"Democratic Republic of the Congo","X2016",8.63
"Democratic Republic of the Congo","X2017",8.38
"Democratic Republic of the Congo","X2018",8.05
"Democratic Republic of the Congo","X2019",7.83
"Denmark","X1990",13.46
"Denmark","X1991",15.52
"Denmark","X1992",14.27
"Denmark","X1993",14.73
"Denmark","X1994",15.38
"Denmark","X1995",14.7
"Denmark","X1996",17.18
"Denmark","X1997",15.27
"Denmark","X1998",14.46
"Denmark","X1999",13.87
"Denmark","X2000",13.11
"Denmark","X2001",13.33
"Denmark","X2002",13.16
"Denmark","X2003",14.14
"Denmark","X2004",12.96
"Denmark","X2005",12.24
"Denmark","X2006",13.62
"Denmark","X2007",12.68
"Denmark","X2008",11.97
"Denmark","X2009",11.38
"Denmark","X2010",11.38
"Denmark","X2011",10.01
"Denmark","X2012",9.07
"Denmark","X2013",9.28
"Denmark","X2014",8.49
"Denmark","X2015",8.08
"Denmark","X2016",8.78
"Denmark","X2017",8.32
"Denmark","X2018",8.19
"Denmark","X2019",7.58
"Djibouti","X1990",1.54
"Djibouti","X1991",1.54
"Djibouti","X1992",1.55
"Djibouti","X1993",1.57
"Djibouti","X1994",1.58
"Djibouti","X1995",1.67
"Djibouti","X1996",1.66
"Djibouti","X1997",1.69
"Djibouti","X1998",1.76
"Djibouti","X1999",1.76
"Djibouti","X2000",1.7
"Djibouti","X2001",1.68
"Djibouti","X2002",1.68
"Djibouti","X2003",1.68
"Djibouti","X2004",1.64
"Djibouti","X2005",1.67
"Djibouti","X2006",1.64
"Djibouti","X2007",1.68
"Djibouti","X2008",1.66
"Djibouti","X2009",1.64
"Djibouti","X2010",1.68
"Djibouti","X2011",1.61
"Djibouti","X2012",1.62
"Djibouti","X2013",1.68
"Djibouti","X2014",1.48
"Djibouti","X2015",1.53
"Djibouti","X2016",1.46
"Djibouti","X2017",1.44
"Djibouti","X2018",1.41
"Djibouti","X2019",1.42
"Dominica","X1990",3.45
"Dominica","X1991",3.47
"Dominica","X1992",3.73
"Dominica","X1993",3.63
"Dominica","X1994",3.67
"Dominica","X1995",3.71
"Dominica","X1996",3.31
"Dominica","X1997",3.55
"Dominica","X1998",3.51
"Dominica","X1999",3.48
"Dominica","X2000",3.65
"Dominica","X2001",2.99
"Dominica","X2002",2.49
"Dominica","X2003",2.69
"Dominica","X2004",2.91
"Dominica","X2005",3.03
"Dominica","X2006",3.16
"Dominica","X2007",3.33
"Dominica","X2008",3.35
"Dominica","X2009",7.85
"Dominica","X2010",3.32
"Dominica","X2011",3.35
"Dominica","X2012",4.32
"Dominica","X2013",3.26
"Dominica","X2014",3.36
"Dominica","X2015",3.39
"Dominica","X2016",3.29
"Dominica","X2017",3.05
"Dominica","X2018",3.04
"Dominica","X2019",3.07
"Dominican Republic","X1990",1.19
"Dominican Republic","X1991",1.32
"Dominican Republic","X1992",1.5
"Dominican Republic","X1993",1.54
"Dominican Republic","X1994",1.77
"Dominican Republic","X1995",1.8
"Dominican Republic","X1996",1.88
"Dominican Republic","X1997",2.06
"Dominican Republic","X1998",2.27
"Dominican Republic","X1999",2.3
"Dominican Republic","X2000",2.35
"Dominican Republic","X2001",3.03
"Dominican Republic","X2002",3.26
"Dominican Republic","X2003",2.95
"Dominican Republic","X2004",2.83
"Dominican Republic","X2005",2.94
"Dominican Republic","X2006",3.11
"Dominican Republic","X2007",3.2
"Dominican Republic","X2008",3.17
"Dominican Republic","X2009",3.08
"Dominican Republic","X2010",3.18
"Dominican Republic","X2011",3.26
"Dominican Republic","X2012",3.3
"Dominican Republic","X2013",3.24
"Dominican Republic","X2014",3.24
"Dominican Republic","X2015",3.44
"Dominican Republic","X2016",3.48
"Dominican Republic","X2017",3.37
"Dominican Republic","X2018",3.54
"Dominican Republic","X2019",3.7
"Ecuador","X1990",7.19
"Ecuador","X1991",7.09
"Ecuador","X1992",7.16
"Ecuador","X1993",7.14
"Ecuador","X1994",7.27
"Ecuador","X1995",7.33
"Ecuador","X1996",7.52
"Ecuador","X1997",7.53
"Ecuador","X1998",7.24
"Ecuador","X1999",6.86
"Ecuador","X2000",6.68
"Ecuador","X2001",6.33
"Ecuador","X2002",6.19
"Ecuador","X2003",6.18
"Ecuador","X2004",6.37
"Ecuador","X2005",6.4
"Ecuador","X2006",6.47
"Ecuador","X2007",6.34
"Ecuador","X2008",6.35
"Ecuador","X2009",6.49
"Ecuador","X2010",6.62
"Ecuador","X2011",5.78
"Ecuador","X2012",5.68
"Ecuador","X2013",5.79
"Ecuador","X2014",5.81
"Ecuador","X2015",5.62
"Ecuador","X2016",6
"Ecuador","X2017",5.82
"Ecuador","X2018",5.78
"Ecuador","X2019",5.68
"Egypt","X1990",2.38
"Egypt","X1991",2.42
"Egypt","X1992",2.42
"Egypt","X1993",2.46
"Egypt","X1994",2.35
"Egypt","X1995",2.46
"Egypt","X1996",2.53
"Egypt","X1997",2.62
"Egypt","X1998",2.65
"Egypt","X1999",2.75
"Egypt","X2000",2.69
"Egypt","X2001",2.84
"Egypt","X2002",2.86
"Egypt","X2003",2.88
"Egypt","X2004",3.01
"Egypt","X2005",3.23
"Egypt","X2006",3.32
"Egypt","X2007",3.46
"Egypt","X2008",3.52
"Egypt","X2009",3.54
"Egypt","X2010",3.5
"Egypt","X2011",3.53
"Egypt","X2012",3.58
"Egypt","X2013",3.46
"Egypt","X2014",3.45
"Egypt","X2015",3.44
"Egypt","X2016",3.45
"Egypt","X2017",3.51
"Egypt","X2018",3.51
"Egypt","X2019",3.51
"El Salvador","X1990",1.51
"El Salvador","X1991",1.63
"El Salvador","X1992",1.68
"El Salvador","X1993",1.75
"El Salvador","X1994",1.83
"El Salvador","X1995",1.86
"El Salvador","X1996",1.83
"El Salvador","X1997",1.96
"El Salvador","X1998",1.96
"El Salvador","X1999",1.98
"El Salvador","X2000",1.9
"El Salvador","X2001",2
"El Salvador","X2002",2.03
"El Salvador","X2003",2.11
"El Salvador","X2004",2.16
"El Salvador","X2005",2.21
"El Salvador","X2006",2.28
"El Salvador","X2007",2.37
"El Salvador","X2008",2.27
"El Salvador","X2009",2.2
"El Salvador","X2010",2.15
"El Salvador","X2011",2.12
"El Salvador","X2012",2.14
"El Salvador","X2013",2.01
"El Salvador","X2014",2.04
"El Salvador","X2015",2.11
"El Salvador","X2016",2.1
"El Salvador","X2017",1.97
"El Salvador","X2018",2.01
"El Salvador","X2019",2.16
"Equatorial Guinea","X1990",9.56
"Equatorial Guinea","X1991",9.58
"Equatorial Guinea","X1992",13.2
"Equatorial Guinea","X1993",13.14
"Equatorial Guinea","X1994",13.03
"Equatorial Guinea","X1995",12.93
"Equatorial Guinea","X1996",13.12
"Equatorial Guinea","X1997",15.46
"Equatorial Guinea","X1998",16.97
"Equatorial Guinea","X1999",19.13
"Equatorial Guinea","X2000",17.64
"Equatorial Guinea","X2001",20.88
"Equatorial Guinea","X2002",21.24
"Equatorial Guinea","X2003",22.21
"Equatorial Guinea","X2004",24.39
"Equatorial Guinea","X2005",26.59
"Equatorial Guinea","X2006",26.67
"Equatorial Guinea","X2007",24.36
"Equatorial Guinea","X2008",24.33
"Equatorial Guinea","X2009",22.17
"Equatorial Guinea","X2010",21.6
"Equatorial Guinea","X2011",20
"Equatorial Guinea","X2012",18.88
"Equatorial Guinea","X2013",17.24
"Equatorial Guinea","X2014",17.93
"Equatorial Guinea","X2015",15.49
"Equatorial Guinea","X2016",14.55
"Equatorial Guinea","X2017",12.88
"Equatorial Guinea","X2018",12.83
"Equatorial Guinea","X2019",11.24
"Eritrea","X1990",1.83
"Eritrea","X1991",1.83
"Eritrea","X1992",2.15
"Eritrea","X1993",1.98
"Eritrea","X1994",2.09
"Eritrea","X1995",2.15
"Eritrea","X1996",2.4
"Eritrea","X1997",2.63
"Eritrea","X1998",2.59
"Eritrea","X1999",2.64
"Eritrea","X2000",2.62
"Eritrea","X2001",2.41
"Eritrea","X2002",2.29
"Eritrea","X2003",2.24
"Eritrea","X2004",2.15
"Eritrea","X2005",2.07
"Eritrea","X2006",1.93
"Eritrea","X2007",1.98
"Eritrea","X2008",1.92
"Eritrea","X2009",1.9
"Eritrea","X2010",1.84
"Eritrea","X2011",1.89
"Eritrea","X2012",NA
"Eritrea","X2013",NA
"Eritrea","X2014",NA
"Eritrea","X2015",NA
"Eritrea","X2016",NA
"Eritrea","X2017",NA
"Eritrea","X2018",NA
"Eritrea","X2019",NA
"Estonia","X1990",24.04
"Estonia","X1991",21.68
"Estonia","X1992",16.91
"Estonia","X1993",13.43
"Estonia","X1994",13.08
"Estonia","X1995",12.18
"Estonia","X1996",12.97
"Estonia","X1997",12.79
"Estonia","X1998",12.56
"Estonia","X1999",11.93
"Estonia","X2000",11.62
"Estonia","X2001",12.03
"Estonia","X2002",11.81
"Estonia","X2003",13.34
"Estonia","X2004",13.54
"Estonia","X2005",13.73
"Estonia","X2006",12.89
"Estonia","X2007",15.98
"Estonia","X2008",14.86
"Estonia","X2009",12.32
"Estonia","X2010",15.38
"Estonia","X2011",11.11
"Estonia","X2012",10.22
"Estonia","X2013",12.1
"Estonia","X2014",11.1
"Estonia","X2015",9.28
"Estonia","X2016",15.67
"Estonia","X2017",16.23
"Estonia","X2018",15.12
"Estonia","X2019",11.17
"Eswatini","X1990",2.51
"Eswatini","X1991",2.51
"Eswatini","X1992",2.52
"Eswatini","X1993",2.27
"Eswatini","X1994",2.28
"Eswatini","X1995",2.28
"Eswatini","X1996",2.16
"Eswatini","X1997",2.25
"Eswatini","X1998",2.32
"Eswatini","X1999",2.3
"Eswatini","X2000",2.28
"Eswatini","X2001",2.05
"Eswatini","X2002",2.09
"Eswatini","X2003",2.19
"Eswatini","X2004",2.2
"Eswatini","X2005",2.25
"Eswatini","X2006",2.12
"Eswatini","X2007",2.29
"Eswatini","X2008",2.15
"Eswatini","X2009",2.08
"Eswatini","X2010",2.1
"Eswatini","X2011",2.09
"Eswatini","X2012",2.11
"Eswatini","X2013",2.17
"Eswatini","X2014",2.16
"Eswatini","X2015",2.12
"Eswatini","X2016",2.18
"Eswatini","X2017",2.23
"Eswatini","X2018",2.25
"Eswatini","X2019",2.34
"Ethiopia","X1990",1.99
"Ethiopia","X1991",1.93
"Ethiopia","X1992",1.87
"Ethiopia","X1993",1.7
"Ethiopia","X1994",1.66
"Ethiopia","X1995",1.62
"Ethiopia","X1996",1.62
"Ethiopia","X1997",1.64
"Ethiopia","X1998",1.68
"Ethiopia","X1999",1.65
"Ethiopia","X2000",1.54
"Ethiopia","X2001",1.59
"Ethiopia","X2002",1.68
"Ethiopia","X2003",1.61
"Ethiopia","X2004",1.6
"Ethiopia","X2005",1.6
"Ethiopia","X2006",1.62
"Ethiopia","X2007",1.7
"Ethiopia","X2008",1.7
"Ethiopia","X2009",1.7
"Ethiopia","X2010",1.71
"Ethiopia","X2011",1.66
"Ethiopia","X2012",1.68
"Ethiopia","X2013",1.68
"Ethiopia","X2014",1.69
"Ethiopia","X2015",1.68
"Ethiopia","X2016",1.69
"Ethiopia","X2017",1.68
"Ethiopia","X2018",1.66
"Ethiopia","X2019",1.64
"Fiji","X1990",-1.13
"Fiji","X1991",-1.1
"Fiji","X1992",-1.04
"Fiji","X1993",-0.94
"Fiji","X1994",-0.87
"Fiji","X1995",-0.77
"Fiji","X1996",-0.71
"Fiji","X1997",-0.71
"Fiji","X1998",-0.75
"Fiji","X1999",-0.78
"Fiji","X2000",-0.73
"Fiji","X2001",-0.41
"Fiji","X2002",-0.61
"Fiji","X2003",-0.46
"Fiji","X2004",0.09
"Fiji","X2005",-0.14
"Fiji","X2006",-0.04
"Fiji","X2007",-0.16
"Fiji","X2008",-0.49
"Fiji","X2009",-0.48
"Fiji","X2010",-0.28
"Fiji","X2011",-0.34
"Fiji","X2012",-0.42
"Fiji","X2013",-0.29
"Fiji","X2014",-0.76
"Fiji","X2015",-0.62
"Fiji","X2016",-0.47
"Fiji","X2017",-0.25
"Fiji","X2018",-0.27
"Fiji","X2019",-0.18
"Finland","X1990",7.73
"Finland","X1991",7.66
"Finland","X1992",7.01
"Finland","X1993",7.22
"Finland","X1994",8.49
"Finland","X1995",7.68
"Finland","X1996",8.92
"Finland","X1997",8.52
"Finland","X1998",7.8
"Finland","X1999",7.65
"Finland","X2000",7.38
"Finland","X2001",11.44
"Finland","X2002",11.88
"Finland","X2003",13.42
"Finland","X2004",12.65
"Finland","X2005",10.28
"Finland","X2006",12.41
"Finland","X2007",12.01
"Finland","X2008",10.43
"Finland","X2009",9.7
"Finland","X2010",11.18
"Finland","X2011",2.25
"Finland","X2012",1.19
"Finland","X2013",1.33
"Finland","X2014",0.59
"Finland","X2015",-0.05
"Finland","X2016",11.58
"Finland","X2017",11.05
"Finland","X2018",11.32
"Finland","X2019",10.58
"France","X1990",8.09
"France","X1991",8.47
"France","X1992",8.18
"France","X1993",7.83
"France","X1994",7.7
"France","X1995",7.82
"France","X1996",8.12
"France","X1997",7.94
"France","X1998",8.17
"France","X1999",7.98
"France","X2000",7.9
"France","X2001",7.25
"France","X2002",7.09
"France","X2003",7.12
"France","X2004",7.04
"France","X2005",7.01
"France","X2006",6.8
"France","X2007",6.65
"France","X2008",6.52
"France","X2009",6.22
"France","X2010",6.25
"France","X2011",6.05
"France","X2012",6.08
"France","X2013",6.06
"France","X2014",5.53
"France","X2015",5.59
"France","X2016",5.57
"France","X2017",5.59
"France","X2018",5.38
"France","X2019",5.24
"Gabon","X1990",14.62
"Gabon","X1991",15.27
"Gabon","X1992",14.83
"Gabon","X1993",14.75
"Gabon","X1994",15.09
"Gabon","X1995",15.8
"Gabon","X1996",16.27
"Gabon","X1997",15.68
"Gabon","X1998",16.23
"Gabon","X1999",15.03
"Gabon","X2000",14.3
"Gabon","X2001",13.62
"Gabon","X2002",12.84
"Gabon","X2003",13.45
"Gabon","X2004",12.86
"Gabon","X2005",12.3
"Gabon","X2006",11.12
"Gabon","X2007",10.33
"Gabon","X2008",10.48
"Gabon","X2009",9.94
"Gabon","X2010",10.15
"Gabon","X2011",11.73
"Gabon","X2012",11.06
"Gabon","X2013",10.78
"Gabon","X2014",10.58
"Gabon","X2015",10.47
"Gabon","X2016",10.36
"Gabon","X2017",9.38
"Gabon","X2018",8.92
"Gabon","X2019",9.06
"Gambia","X1990",5.28
"Gambia","X1991",5.24
"Gambia","X1992",5.17
"Gambia","X1993",5.12
"Gambia","X1994",4.54
"Gambia","X1995",3.98
"Gambia","X1996",3.57
"Gambia","X1997",3.19
"Gambia","X1998",2.87
"Gambia","X1999",2.73
"Gambia","X2000",2.37
