"climate_awareness","Country","Number"
"I know a little about it","Haiti",40.45360909
"I know a little about it","Honduras",38.24919756
"I know a little about it","Hong.Kong",51.29368413
"I know a little about it","Hungary",8.810251364
"I know a little about it","India",36.05887753
"I know a little about it","Indonesia",50.28020021
"I know a little about it","Iraq",41.46430594
"I know a little about it","Ireland",25.17744708
"I know a little about it","Israel",34.13050383
"I know a little about it","Italy",25.46231131
"I know a little about it","Jamaica",54.22492962
"I know a little about it","Japan",26.56245133
"I know a little about it","Jordan",35.65559927
"I know a little about it","Kenya",50.49440026
"I know a little about it","Kosovo",45.68259426
"I know a little about it","Kuwait",38.55789724
"I know a little about it","Lao.People.s.Democratic.Republic",50.9720964
"I know a little about it","Lebanon",38.17408878
"I know a little about it","Libya",42.65490921
"I know a little about it","Lithuania",16.741056
"I know a little about it","Malawi",38.73083328
"I know a little about it","Malaysia",39.52552999
"I know a little about it","Mexico",41.42798382
"I know a little about it","Morocco",33.26891709
"I know a little about it","Mozambique",42.83940832
"I know a little about it","Nepal",43.82812743
"I know a little about it","Netherlands",25.43889085
"I know a little about it","New.Zealand",29.06651702
"I know a little about it","Nicaragua",40.1404351
"I know a little about it","Nigeria",37.33850132
"I know a little about it","North.MAcedonia",35.05269294
"I know a little about it","Norway",26.94843007
"I know a little about it","Oman",41.46383334
"I know a little about it","Pakistan",38.85522856
"I know a little about it","Panama",38.10180289
"I know a little about it","Paraguay",39.78647493
"I know a little about it","Peru",39.55205994
"I know a little about it","Philippines",36.79240801
"I know a little about it","Poland",29.16357086
"I know a little about it","Portugal",26.22193069
"I know a little about it","Puerto.Rico",35.58020116
"I know a little about it","Qatar",41.85143884
"I know a little about it","Romania",28.77419086
"I know a little about it","Saudi.Arabia",41.08536384
"I know a little about it","Senegal",33.44189499
"I know a little about it","Serbia",17.74623853
"I know a little about it","Singapore",33.5811286
"I know a little about it","Slovakia",42.90303586
"I know a little about it","South.Africa",42.34024581
"I know a little about it","South.Korea",34.73517052
"I know a little about it","Spain",39.2856418
"I know a little about it","Sri.Lanka",39.10800709
"I know a little about it","Sub.Saharan.Africa",39.4994712
"I know a little about it","Sweden",28.55004174
"I know a little about it","Switzerland",17.35293173
"I know a little about it","Taiwan",50.74024287
"I know a little about it","Tanzania",32.2029676
"I know a little about it","Thailand",41.22427449
"I know a little about it","Trinidad.and.Tobago",47.85623123
"I know a little about it","Tunisia",29.46458441
"I know a little about it","Turkey",23.87382257
"I know a little about it","United.Arab.Emirates",40.06206549
"I know a little about it","United.Kingdom",24.59569753
"I know a little about it","United.States",26.46925679
"I know a little about it","Uruguay",38.23495068
"I know a little about it","Uzbekistan",47.67621335
"I know a little about it","Vietnam",42.91146614
"I know a little about it","Yemen",35.97264263
"I know a little about it","Zambia",40.91117562
"I know a moderate amount about it","Albania",33.12070362
"I know a moderate amount about it","Algeria",25.99030484
"I know a moderate amount about it","Angola",23.47033557
"I know a moderate amount about it","Argentina",43.78370554
"I know a moderate amount about it","Armenia",25.82819151
"I know a moderate amount about it","Asian...Pacific.Islands",24.80218033
"I know a moderate amount about it","Australia",48.1004252
"I know a moderate amount about it","Austria",48.6092667
"I know a moderate amount about it","Azerbaijan",35.94439746
"I know a moderate amount about it","Bangladesh",16.21016333
"I know a moderate amount about it","Belgium",57.00396828
"I know a moderate amount about it","Benin",11.62030338
"I know a moderate amount about it","Bolivia..Plurinational.State.of.",34.39372614
"I know a moderate amount about it","Bosnia.and.Herzegovina",61.77799764
"I know a moderate amount about it","Botswana",21.29145202
"I know a moderate amount about it","Brazil",52.42681303
"I know a moderate amount about it","Bulgaria",50.83060631
"I know a moderate amount about it","Burkina.Faso",20.60915461
"I know a moderate amount about it","Cambodia",16.57657164
"I know a moderate amount about it","Cameroon",21.49299182
"I know a moderate amount about it","Canada",51.49574218
"I know a moderate amount about it","Caribbean",32.04323604
"I know a moderate amount about it","Chile",46.45333596
"I know a moderate amount about it","Colombia",30.03674743
"I know a moderate amount about it","Congo..Democratic.Republic.of.the.",19.30649704
"I know a moderate amount about it","Costa.Rica",44.04193229
"I know a moderate amount about it","Cote.d.Ivoire",18.25261202
"I know a moderate amount about it","Croatia",58.03320862
"I know a moderate amount about it","Cyprus",42.53451309
"I know a moderate amount about it","Czechia",35.11959068
"I know a moderate amount about it","Denmark",54.42846266
"I know a moderate amount about it","Dominican.Republic",27.96329512
"I know a moderate amount about it","Ecuador",42.00751587
"I know a moderate amount about it","Egypt",27.04883669
"I know a moderate amount about it","El.Salvador",26.89432989
"I know a moderate amount about it","Finland",53.73918611
"I know a moderate amount about it","France",45.43386592
"I know a moderate amount about it","Germany",49.08498407
"I know a moderate amount about it","Ghana",13.11843912
"I know a moderate amount about it","Greece",47.70927603
"I know a moderate amount about it","Guatemala",24.80055703
"I know a moderate amount about it","Haiti",10.40983968
"I know a moderate amount about it","Honduras",24.54145215
"I know a moderate amount about it","Hong.Kong",31.1303146
"I know a moderate amount about it","Hungary",53.30007579
"I know a moderate amount about it","India",23.99444809
"I know a moderate amount about it","Indonesia",12.65987427
"I know a moderate amount about it","Iraq",24.06102887
"I know a moderate amount about it","Ireland",52.34015566
"I know a moderate amount about it","Israel",44.2886824
"I know a moderate amount about it","Italy",60.84522648
"I know a moderate amount about it","Jamaica",20.6880213
"I know a moderate amount about it","Japan",59.64685483
"I know a moderate amount about it","Jordan",32.31398858
"I know a moderate amount about it","Kenya",19.80881975
"I know a moderate amount about it","Kosovo",21.36414609
"I know a moderate amount about it","Kuwait",19.68005588
"I know a moderate amount about it","Lao.People.s.Democratic.Republic",18.23930262
"I know a moderate amount about it","Lebanon",30.17670713
"I know a moderate amount about it","Libya",27.75558635
"I know a moderate amount about it","Lithuania",61.6961658
"I know a moderate amount about it","Malawi",16.66852898
"I know a moderate amount about it","Malaysia",29.1079771
"I know a moderate amount about it","Mexico",43.31011753
"I know a moderate amount about it","Morocco",27.22844708
"I know a moderate amount about it","Mozambique",20.89992732
"I know a moderate amount about it","Nepal",16.18720387
"I know a moderate amount about it","Netherlands",62.35481814
"I know a moderate amount about it","New.Zealand",50.63104676
"I know a moderate amount about it","Nicaragua",32.44918979
"I know a moderate amount about it","Nigeria",16.40059379
"I know a moderate amount about it","North.MAcedonia",48.73693326
"I know a moderate amount about it","Norway",47.89609006
"I know a moderate amount about it","Oman",22.52954176
"I know a moderate amount about it","Pakistan",15.09995478
"I know a moderate amount about it","Panama",36.68656441
"I know a moderate amount about it","Paraguay",25.39901144
"I know a moderate amount about it","Peru",41.77030206
"I know a moderate amount about it","Philippines",29.40148636
"I know a moderate amount about it","Poland",58.82654664
"I know a moderate amount about it","Portugal",57.31240603
"I know a moderate amount about it","Puerto.Rico",45.02301046
"I know a moderate amount about it","Qatar",16.52585399
"I know a moderate amount about it","Romania",45.37488113
"I know a moderate amount about it","Saudi.Arabia",24.70452698
"I know a moderate amount about it","Senegal",23.43197696
"I know a moderate amount about it","Serbia",63.09539625
"I know a moderate amount about it","Singapore",39.04986953
"I know a moderate amount about it","Slovakia",43.08856218
"I know a moderate amount about it","South.Africa",29.10478778
"I know a moderate amount about it","South.Korea",43.96338234
"I know a moderate amount about it","Spain",47.18497203
"I know a moderate amount about it","Sri.Lanka",33.65129828
"I know a moderate amount about it","Sub.Saharan.Africa",15.69211541
"I know a moderate amount about it","Sweden",54.74765753
"I know a moderate amount about it","Switzerland",52.03886365
"I know a moderate amount about it","Taiwan",33.88112132
"I know a moderate amount about it","Tanzania",24.42739858
"I know a moderate amount about it","Thailand",37.34601585
"I know a moderate amount about it","Trinidad.and.Tobago",33.62549943
"I know a moderate amount about it","Tunisia",26.9974395
"I know a moderate amount about it","Turkey",53.94661588
"I know a moderate amount about it","United.Arab.Emirates",24.89384625
"I know a moderate amount about it","United.Kingdom",54.8603014
"I know a moderate amount about it","United.States",48.14016851
"I know a moderate amount about it","Uruguay",42.49412703
"I know a moderate amount about it","Uzbekistan",34.60574365
"I know a moderate amount about it","Vietnam",19.20094001
"I know a moderate amount about it","Yemen",23.51607466
"I know a moderate amount about it","Zambia",21.54410519
"I know a lot about it","Albania",10.60760411
"I know a lot about it","Algeria",11.05957188
"I know a lot about it","Angola",11.1477583
"I know a lot about it","Argentina",9.87808544
"I know a lot about it","Armenia",11.43921397
"I know a lot about it","Asian...Pacific.Islands",19.48813072
"I know a lot about it","Australia",23.94806145
"I know a lot about it","Austria",32.70000622
"I know a lot about it","Azerbaijan",13.24825463
"I know a lot about it","Bangladesh",18.92367473
"I know a lot about it","Belgium",14.58112392
"I know a lot about it","Benin",13.57224788
"I know a lot about it","Bolivia..Plurinational.State.of.",8.049494769
"I know a lot about it","Bosnia.and.Herzegovina",11.25701435
"I know a lot about it","Botswana",17.55032625
"I know a lot about it","Brazil",12.57727914
"I know a lot about it","Bulgaria",16.04354754
"I know a lot about it","Burkina.Faso",11.24619318
"I know a lot about it","Cambodia",6.648109119
"I know a lot about it","Cameroon",10.06335285
"I know a lot about it","Canada",22.36904487
"I know a lot about it","Caribbean",12.49036894
"I know a lot about it","Chile",10.99593356
"I know a lot about it","Colombia",6.006708318
"I know a lot about it","Congo..Democratic.Republic.of.the.",7.883080658
"I know a lot about it","Costa.Rica",11.51874877
"I know a lot about it","Cote.d.Ivoire",12.83595816
"I know a lot about it","Croatia",25.03996663
"I know a lot about it","Cyprus",13.60133546
"I know a lot about it","Czechia",7.962573044
"I know a lot about it","Denmark",20.75334782
"I know a lot about it","Dominican.Republic",6.918826826
"I know a lot about it","Ecuador",8.051452658
"I know a lot about it","Egypt",7.864145241
"I know a lot about it","El.Salvador",6.156915469
"I know a lot about it","Finland",37.9834545
"I know a lot about it","France",26.85547425
"I know a lot about it","Germany",34.81584999
"I know a lot about it","Ghana",9.660398195
"I know a lot about it","Greece",20.27487736
"I know a lot about it","Guatemala",4.474760318
"I know a lot about it","Haiti",8.893248685
"I know a lot about it","Honduras",8.390448963
"I know a lot about it","Hong.Kong",10.32814003
